time,year,month,cases,population,personyrs,incidencePop,incidencePyrs,bednets,AIRT_0,AIRT_1,AIRT_2,AIRT_3,AIRT_4,lstD_0,lstD_1,lstD_2,lstD_3,lstD_4,Rain_0,Rain_1,Rain_2,Rain_3,Rain_4,NDVI_0,NDVI_1,NDVI_2,NDVI_3,NDVI_4,EVI_0,EVI_1,EVI_2,EVI_3,EVI_4,AIRT_01,AIRT_012,AIRT_0123,AIRT_01234,lstD_01,lstD_012,lstD_0123,lstD_01234,Rain_01,Rain_012,Rain_0123,Rain_01234,NDVI_01,NDVI_012,NDVI_0123,NDVI_01234,EVI_01,EVI_012,EVI_0123,EVI_01234,
1,1,2008,1,297,28717,2414.469727,0.010342306,0.123008376,1,23.16253815,22.83383331,22.70800934,23.21366272,22.6873642,36.25741149,33.62863925,35.58205083,35.23284482,30.22587549,39.97252258,69.30965594,93.81442114,46.67302314,115.9140794,0.500675758,0.583577273,0.546116667,0.538854545,0.551457576,0.282390909,0.352712121,0.317092424,0.323918182,0.329242424,22.99818573,22.90146027,22.97951088,22.92108154,34.94302537,35.15603386,35.1752366,34.18536438,54.64108926,67.69886655,62.4424057,73.13674044,0.542126515,0.543456566,0.542306061,0.544136364,0.317551515,0.317398485,0.319028409,0.321071212
2,2,2008,2,291,29000,2284.982178,0.010034483,0.127353291,1,23.27938232,23.16253815,22.83383331,22.70800934,23.21366272,35.60169165,36.25741149,33.62863925,35.58205083,35.23284482,56.18066318,39.97252258,69.30965594,93.81442114,46.67302314,0.515324242,0.500675758,0.583577273,0.546116667,0.538854545,0.281845455,0.282390909,0.352712121,0.317092424,0.323918182,23.22096024,23.09191793,22.99594078,23.03948517,35.92955157,35.1625808,35.26744831,35.26052761,48.07659288,55.15428057,64.81931571,61.1900572,0.508,0.533192424,0.536423485,0.536909697,0.282118182,0.305649495,0.308510227,0.311591818
3,3,2008,3,393,29017,2453.568359,0.013543785,0.160174873,1,22.8963562,23.27938232,23.16253815,22.83383331,22.70800934,35.22179196,35.60169165,36.25741149,33.62863925,35.58205083,140.3956509,56.18066318,39.97252258,69.30965594,93.81442114,0.478183333,0.515324242,0.500675758,0.583577273,0.546116667,0.253571212,0.281845455,0.282390909,0.352712121,0.317092424,23.08786926,23.11275889,23.0430275,22.97602386,35.4117418,35.6936317,35.17738359,35.25831704,98.28815704,78.84961222,76.46462315,79.93458275,0.496753788,0.498061111,0.519440152,0.524775455,0.267708333,0.272602525,0.292629924,0.297522424
4,4,2008,4,286,28992,2374.729248,0.00986479,0.120434782,1,22.3975235,22.8963562,23.27938232,23.16253815,22.83383331,30.20455348,35.22179196,35.60169165,36.25741149,33.62863925,153.71821,140.3956509,56.18066318,39.97252258,69.30965594,0.664030303,0.478183333,0.515324242,0.500675758,0.583577273,0.389745455,0.253571212,0.281845455,0.282390909,0.352712121,22.64693985,22.85775401,22.93395004,22.9139267,32.71317272,33.67601236,34.32136214,34.18281757,147.0569305,116.7648414,97.56676167,91.91534052,0.571106818,0.552512626,0.539553409,0.548358182,0.321658333,0.308387374,0.301888258,0.31205303
5,5,2008,5,778,29079,2453.418213,0.026754703,0.317108594,1,22.63675842,22.3975235,22.8963562,23.27938232,23.16253815,29.43614421,30.20455348,35.22179196,35.60169165,36.25741149,163.5915833,153.71821,140.3956509,56.18066318,39.97252258,0.66885303,0.664030303,0.478183333,0.515324242,0.500675758,0.423148485,0.389745455,0.253571212,0.281845455,0.282390909,22.51714096,22.64354604,22.80250511,22.87451172,29.82034884,31.62082988,32.61604532,33.34431856,158.6548966,152.5684814,128.4715268,110.771726,0.666441667,0.603688889,0.581597727,0.565413333,0.40644697,0.355488384,0.337077652,0.326140303
6,6,2008,6,957,29102,2377.706055,0.032884338,0.402488776,1,21.83791504,22.63675842,22.3975235,22.8963562,23.27938232,27.92059314,29.43614421,30.20455348,35.22179196,35.60169165,72.80338141,163.5915833,153.71821,140.3956509,56.18066318,0.611898485,0.66885303,0.664030303,0.478183333,0.515324242,0.372174242,0.423148485,0.389745455,0.253571212,0.281845455,22.23733673,22.29073232,22.44213829,22.6095871,28.67836867,29.18709694,30.6957707,31.67695489,118.1974823,130.0377249,132.6272064,117.3378978,0.640375758,0.648260606,0.605741288,0.587657879,0.397661364,0.395022727,0.359659848,0.34409697
7,7,2008,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2008,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2008,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2008,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,2008,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,2008,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,2009,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,2009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,2009,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,2009,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,2009,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,2009,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,2009,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2009,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,2009,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,2009,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,2009,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,2010,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,2010,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,2010,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,2010,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,2010,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,2010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,2010,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,2010,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,2010,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,2010,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
